AllocationYear,PooledFundId,OrganizatinonId,ClusterId,FundId,AllocationSurceId,ClusterBudget,TotalNumbProj
2008,36,3,7,1,3,2499602.0,3
2008,36,3,7,1,4,2600000.0,3
2008,36,3,9,1,3,6000753.0,2
2008,36,3,9,1,4,1012755.0,1
2008,36,3,11,1,3,1500000.0,1
2008,36,3,11,1,4,1156842.0,1
2008,36,3,12,1,3,377293.0,1
2008,36,3,13,1,3,1500000.0,1
2008,36,3,13,1,4,1200000.0,1
2008,39,3,4,1,3,995590.0,2
2008,39,3,6,1,3,1570000.0,1
2008,39,3,7,1,3,149800.0,1
2008,39,3,10,1,3,150000.0,1
2008,39,3,11,1,3,129925.0,1
2008,42,3,6,1,3,890825.0,2
2008,42,3,7,1,3,281881.0,2
2008,42,3,11,1,3,310835.0,1
2008,43,3,6,1,3,3000000.0,1
2008,43,3,9,1,3,999178.0,1
2008,44,3,7,1,3,490665.0,2
2008,44,3,11,1,3,711302.0,2
2008,45,3,3,1,3,200625.0,1
2008,45,3,4,1,3,1657163.0,2
2008,45,3,5,1,3,205502.0,1
2008,45,3,6,1,3,7704251.0,4
2008,45,3,7,1,3,720999.0,2
2008,45,3,8,1,3,2244646.0,1
2008,45,3,9,1,3,1296510.0,3
2008,45,3,10,1,3,132680.0,1
2008,45,3,11,1,3,867727.0,2
2008,45,3,12,1,3,1000001.0,1
2008,46,3,4,1,3,626485.0,1
2008,46,3,6,1,3,724859.0,2
2008,46,3,11,1,3,150000.0,1
2008,47,3,7,1,3,463310.0,2
2008,47,3,13,1,3,2547515.0,2
2008,49,3,4,1,4,5000001.0,2
2008,49,3,6,1,3,5076123.0,1
2008,49,3,13,1,3,1560531.0,1
2008,51,3,13,1,3,3543119.0,1
2008,52,3,4,1,3,1770783.0,3
2008,52,3,4,1,4,3439500.0,1
2008,52,3,6,1,3,10964438.0,5
2008,52,3,6,1,4,1849740.0,2
2008,52,3,7,1,3,944034.0,4
2008,52,3,7,1,4,1117108.0,2
2008,52,3,8,1,3,443868.0,1
2008,52,3,9,1,3,666126.0,2
2008,52,3,10,1,3,1003487.0,5
2008,52,3,11,1,3,1278989.98,2
2008,52,3,13,1,3,2492205.0,1
2008,53,3,4,1,3,220151.0,2
2008,53,3,6,1,3,1750405.0,2
2008,54,3,3,1,3,100045.0,1
